,created_at,id,text
9,2022-03-31T12:38:43.000Z,1509510502837325835,"@MailOnline BS. Doesn't show any such thing. This ""vantage shot"" was taken from BEHIND the Smiths. Nothing can be seen. Why tf don't you run REAL news and GENUINE facts? #MediaLies #media #WillSmith #JadaPinkettSmith #Oscars2022"
10,2022-03-31T12:38:31.000Z,1509510451872342020,"Oscar Reps Asking Will Smith to leave:  Will, are you okay? Do you need to leave? 

Will Smith: No, I’m fine now. 

#WillSmith #Oscars2022"
11,2022-03-31T12:36:07.000Z,1509509848517459974,I honestly believe #WillSmith it should be a #boycottWillSmith he had the nerve to apologize to the #Oscars2022 #Oscars ...the black on black violence is out of control #BlackTwitter #BlackLivesMatter the message he sent was it's okay &amp; you don't have apologize only to the #Elite
12,2022-03-31T12:36:01.000Z,1509509820814184459,"Will Smith’s mother is speaking out about him slapping comedian Chris Rock at the #Oscars2022 over a G.I. Jane joke about Jada Pinkett Smith, whose head is shaved. “First time in his lifetime … I’ve never seen him do that,” said Caroline Smith, 85, in an interview with WPVI."
13,2022-03-31T12:35:51.000Z,1509509780410404866,"BAN  will smith from the Oscars 
Chris Rock is the best comedian ever  .... gi jane movie entanglement part 2. black people are tired of getting stereotyped due to this behavior #BlackLivesMatter #willsmithchrisrock #Oscars2022 #Biden #UkraineRussianWar"
14,2022-03-31T12:32:32.000Z,1509508943969718272,"Last post on this nonsense: 
Chris said something stupid. Will did something stupid. People are allowed to say/feel however about a public event. Celebrities are idiots and we all clap like seals. Let’s move on. #Oscars2022"
15,2022-03-31T12:28:43.000Z,1509507984073838594,@TODAYshow they really like showing a Blk man getting slapped daily. Would you keep showing it if it was your mom getting slapped #BlackLivesMatter #producers #Oscars2022
16,2022-03-31T12:28:12.000Z,1509507853391994885,@Kevin_Jacobsen The final Oscar and the best moment of the night…Lady Gaga and Liza Minelli presenting best picture. @ladygaga is a genuine class act and Liza is an absolute legend. #Oscars2022
17,2022-03-31T12:25:33.000Z,1509507189647581191,"To be fair, assaulting someone, refusing to leave when asked, then winning an Oscar and shirking responsibility, is an example of injustice. Non-celebrities do not get this treatment. They face consequences. 

#WillSmith #Oscars2022 #ChrisRock"
18,2022-03-31T12:23:55.000Z,1509506775224967173,Toxic positivity is so damaging. You're out here gaslighting yourself and others because you can't to accept your friends might not be that nice. Life isn't rainbows and fairies all the time Accept it #toxicpositivity #accountability #Oscars2022
19,2022-03-31T12:23:26.000Z,1509506655771369472,"When you choose a life in the public eye, you can expect to be the topic of conversation, love, anger and jokes. We tell our children not to use violence, but this is OK for Will because why? Jada shaved her hair LIVE on insta. She publicly talks about alopecia. #Oscars2022"
20,2022-03-31T12:21:10.000Z,1509506085308313600,@chrisrock Heard Wanda Sykes on Ellen say you apologized to her about what happened because it was her night. Such a good friend to think of others at that moment! Really impressed by how you handled yourself during the assault and after. #Oscars2022 #ChrisRock
21,2022-03-31T12:20:49.000Z,1509505995818610693,"In this era where making money seems to be a lot of people's priority, that's all good and well  but don't lie to do it. Your faves are out here literally lying knowing damn well they did wrong, just to protect their brand. When they know better #discernment #brands #Oscars2022"
22,2022-03-31T12:20:32.000Z,1509505925706563592,Had to do a Podcast Ep on The Oscars! Check out &amp; follow Finding Yourself on Spotify where I upload weekly episodes each Friday! #spotifypodcasts  #Oscars2022 #TheSlap
23,2022-03-31T12:20:27.000Z,1509505905620140039,"@TheAcademy why don't you make it up to him and let @chrisrock host next year's Oscar's 
#letchrishost #Oscar2022 #AcademyAwards #Oscars #Oscars2022"
24,2022-03-31T12:16:21.000Z,1509504871191519238,"""I Will Smith anything I cannot Chris Rock!"" What #TheOscars2022 gave us...
#Oscars2022 #Oscars #Oscar"
25,2022-03-31T12:14:44.000Z,1509504466407538697,"Mr. #ChrisRock tour is called ""Ego Death World Tour.""

I look at the title &amp; see how the violence he endured was but 1 WAY he will humbly live that title out.
Because of #TheSlap he endured &amp; his professionalism afterward, he has put his ego to death.

#SlapChrisRock #Oscars2022"
26,2022-03-31T12:14:17.000Z,1509504354264436742,"Shoutout to all the newly crowned Alopecia experts out there!! So great to have your (hairy) opinions in my newsfeed, wow so uplifting 🙄😎🖕#Alopecia #alopeciaisnojoke #alopeciaawareness #JadaPinkettSmith #Oscars2022"
27,2022-03-31T12:14:06.000Z,1509504305358856195,"So, the Academy says they ""asked Mr. Smith to leave"" the ceremony and ge refused. White privilege at it's finest. #Oscars #Oscars2022"
28,2022-03-31T12:12:21.000Z,1509503866085289994,"@ATRightMovies Thank goodness Chris Rock is a class act and did not ruin #Oscars responding to Will Smith disgraceful act !!

Jeda did not help situation. I hope they are not teaching their children that it's ok to be violent in response to verbal comments

#Oscars2022 
#makeWorldBetterPlace"
29,2022-03-31T12:09:00.000Z,1509503021276925956,Maybe Will Smith is #teamkanye and pulled up on the first comedian he ran into? #badjokethursday #Oscars2022 #WillAndChris
30,2022-03-31T12:08:43.000Z,1509502949965418500,"Traumatizing to me is watching how professionals (police officers) kill at will and go home. 

Slapping someone has never traumatized me. I watched wrestling years ago and they didn’t do anything BUT slap! #Oscars2022"
31,2022-03-31T12:06:58.000Z,1509502509097926660,"If high school seniors can be punished for partying on prom night, by not being allowed to walk the stage with peers for graduation....
#WillSmith CAN HAVE HIS #OSCAR TAKEN AWAY! He shouldn't have resorted to violence for something ridiculous!  #SupposedlyARoleModel??#Oscars2022"
